title,author,tag,image_url,external_link
,Digital Luxury Group,SOTD,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68cc1005c34b2948043411.png,https://urbanjurgensen.com/
,Beaucoup.,DEV,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68bfe520867bc836691588.jpg,https://orage.studio/
,,PROMOTED,,
,Studio 28K,DEV,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d143379383c188358018.png,https://www.hut8.com/
,/nk.studio,DEV,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68cd5ca4de605479894188.jpg,https://untold.site/en
,Dylan Brouwer,DEV,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68c3d8c38c8fa401298793.png,https://www.gethyped.nl/
,Thierry Chopain,DEV,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68caa0834aeea645348268.jpg,https://ova-investment.com
,Edoardo Lunardi,DEV,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68c6c63cb0bb2694852750.png,https://www.anuchome.com/
,Huy Phan,DEV,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68c03c4604f1a840148959.png,https://wonjyou.studio/
,Patrick Heng,DEV,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68c7be3b8a3c6127708535.jpg,https://ponpon-mania.com/
,Firma,DEV,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68c17b59d8b8c739996161.jpg,https://toptier.relats.com/
,Immersive Garden,DEV,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68c29b5209dbb113223702.jpg,https://www.100lostspecies.com/
,Flabbergast,DEV,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68c140b526ec9333061234.png,https://flabbergast.agency
,Amine Zegmou,DEV,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68bb0d7f38475413494866.png,https://www.lacrapulestudio.com/
,Refokus,SOTD,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68b85a09f0d3b905958532.png,https://www.heimdallpower.com/
,Samuel Honigstein,DEV,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68c6cce6444b8375386976.png,http://samsy.ninja
,Buzzworthy,DEV,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68b95f0034bca498000483.png,https://stiff.madebybuzzworthy.com/
,ToyFight,AH,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/08/68b165054c02e699655838.jpg,http://inkgames.com
,Malvah,DEV,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68bab6be1a4fe684453358.jpg,https://www.theupandupgroup.com/
,BASEBORN,DEV,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/08/68ac16795370d156035420.png,https://www.chew.productions/
,Graphics Dept.,HM,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/10/68e8112aba2b1600078585.png,https://www.hurryupandhavefun.com/
,serieseight,DEV,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68b7fdf26bddc496389447.jpg,https://www.jonite.com/
,Stella Petkova,HM,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68da9de308f54558250138.png,https://www.stellapetkova.com/
,Fol,HM,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68dac46490a8c082386579.jpg,https://avciarchitects.com/
,jordan-breton,HM,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68da90ff7b5f7743711714.png,https://jordan-breton.com
,ADELT Agency,HM,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/10/68e795874e303896428316.png,https://quietcubes.com
